STATE/UT,Year,TYPE,0-3 hrs. (Night),3-6 hrs. (Night),6-9 hrs (Day),9-12 hrs (Day),12-15 hrs (Day),15-18 hrs (Day),18-21 hrs (Night),21-24 hrs (Night),Total
Andhra Pradesh,2009,Other Railway Accidents,61,77,306,431,224,124,102,77,1402
Andhra Pradesh,2010,Road Accidents,3822,5347,5553,5438,5176,5548,6363,5181,42428
Andhra Pradesh,2010,Rail-Road Accidents,55,43,177,201,79,54,40,41,690
Andhra Pradesh,2010,Other Railway Accidents,50,104,47,165,159,157,106,85,873
Andhra Pradesh,2011,Road Accidents,3577,4958,4494,5897,5420,5716,6418,4586,41066
Andhra Pradesh,2011,Rail-Road Accidents,17,48,178,196,92,70,53,21,675
Andhra Pradesh,2011,Other Railway Accidents,190,180,162,140,141,138,211,200,1362
Andhra Pradesh,2012,Road Accidents,3026,3795,4413,5413,4978,5616,6877,5226,39344
Andhra Pradesh,2012,Rail-Road Accidents,0,0,0,0,1,0,2,0,3
Andhra Pradesh,2012,Other Railway Accidents,292,390,485,406,250,293,327,249,2692
Arunachal Pradesh,2001,Road Accidents,9,24,21,46,31,45,36,24,236
Arunachal Pradesh,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Road Accidents,8,22,32,46,40,36,38,13,235
Arunachal Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Road Accidents,9,21,29,47,36,37,36,14,229
Arunachal Pradesh,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Road Accidents,6,9,32,47,39,45,30,9,217
Arunachal Pradesh,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Road Accidents,5,12,29,46,44,49,38,14,237
Arunachal Pradesh,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Road Accidents,16,19,32,44,40,43,33,16,243
Arunachal Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Road Accidents,20,23,24,40,37,45,25,16,230
Arunachal Pradesh,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Road Accidents,21,15,17,44,58,50,41,15,261
Arunachal Pradesh,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Road Accidents,21,15,17,44,58,50,41,15,261
Arunachal Pradesh,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Road Accidents,8,16,38,48,50,68,35,17,280
Arunachal Pradesh,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2011,Road Accidents,12,12,36,46,52,55,39,11,263
Arunachal Pradesh,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2011,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2012,Road Accidents,4,17,22,41,34,51,23,12,204
Arunachal Pradesh,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2012,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Assam,2001,Road Accidents,133,150,259,346,300,285,234,99,1806
Assam,2001,Rail-Road Accidents,5,5,4,2,3,4,4,3,30
Assam,2001,Other Railway Accidents,15,23,43,37,24,26,23,22,213
Assam,2002,Road Accidents,167,240,322,411,335,339,272,157,2243
Assam,2002,Rail-Road Accidents,3,3,4,0,0,0,0,0,10
Assam,2002,Other Railway Accidents,14,32,60,66,43,37,40,30,322
Assam,2003,Road Accidents,129,219,295,434,330,364,247,127,2145
Assam,2003,Rail-Road Accidents,0,4,0,1,0,2,1,2,10
Assam,2003,Other Railway Accidents,29,33,61,61,43,36,46,36,345
Assam,2004,Road Accidents,101,170,287,457,340,339,204,104,2002
Assam,2004,Rail-Road Accidents,2,7,2,7,2,1,2,4,27
Assam,2004,Other Railway Accidents,1,82,85,8,30,2,93,71,372
Assam,2005,Road Accidents,172,282,584,731,664,668,365,190,3656
Assam,2005,Rail-Road Accidents,16,6,2,2,1,5,8,7,47
Assam,2005,Other Railway Accidents,24,45,50,34,45,34,51,35,318
Assam,2006,Road Accidents,159,275,679,916,753,799,313,186,4080
Assam,2006,Rail-Road Accidents,11,11,17,17,9,5,12,8,90
Assam,2006,Other Railway Accidents,20,59,87,81,56,57,55,35,450
Assam,2007,Road Accidents,195,230,690,941,752,610,362,215,3995
Assam,2007,Rail-Road Accidents,4,3,5,12,6,7,4,1,42
Assam,2007,Other Railway Accidents,11,48,24,49,39,26,35,15,247
Assam,2008,Road Accidents,220,259,777,915,747,780,369,195,4262
Assam,2008,Rail-Road Accidents,3,2,8,2,3,0,5,0,23
Assam,2008,Other Railway Accidents,38,41,55,73,28,21,20,27,303
Assam,2009,Road Accidents,165,218,667,1039,912,961,437,186,4585
Assam,2009,Rail-Road Accidents,4,7,8,24,7,9,13,19,91
Assam,2009,Other Railway Accidents,45,42,73,58,61,48,49,49,425
Assam,2010,Road Accidents,231,255,898,1313,972,1058,480,278,5485
Assam,2010,Rail-Road Accidents,1,3,3,5,10,1,4,0,27
Assam,2010,Other Railway Accidents,28,43,79,71,64,67,57,32,441
Assam,2011,Road Accidents,275,216,1110,1494,1166,1118,762,428,6569
Assam,2011,Rail-Road Accidents,1,0,8,6,4,4,4,2,29
Assam,2011,Other Railway Accidents,35,53,49,52,80,77,76,60,482
Assam,2012,Road Accidents,176,206,955,1357,1260,1219,905,457,6535
Assam,2012,Rail-Road Accidents,1,3,9,4,3,4,3,2,29
Assam,2012,Other Railway Accidents,26,54,89,80,63,71,70,47,500
Bihar,2001,Road Accidents,344,541,618,690,552,625,503,461,4334
Bihar,2001,Rail-Road Accidents,20,34,29,32,41,30,28,27,241
Bihar,2001,Other Railway Accidents,38,70,122,60,50,47,108,74,569
Bihar,2002,Road Accidents,297,395,710,777,718,637,495,343,4372
Bihar,2002,Rail-Road Accidents,17,18,39,48,47,43,29,32,273
Bihar,2002,Other Railway Accidents,91,88,72,81,76,48,51,93,600
Bihar,2003,Road Accidents,374,423,531,664,580,567,477,286,3902
Bihar,2003,Rail-Road Accidents,0,1,0,0,0,0,0,0,1
Bihar,2003,Other Railway Accidents,118,121,94,107,107,65,78,113,803
Bihar,2004,Road Accidents,286,494,466,638,689,537,436,344,3890
Bihar,2004,Rail-Road Accidents,6,5,19,26,20,19,12,4,111
Bihar,2004,Other Railway Accidents,100,103,102,111,94,86,59,97,752
Bihar,2005,Road Accidents,233,435,643,632,644,540,419,200,3746
Bihar,2005,Rail-Road Accidents,6,17,30,45,28,26,21,16,189
Bihar,2005,Other Railway Accidents,111,127,98,110,91,68,54,107,766
Bihar,2006,Road Accidents,263,524,661,745,709,610,500,370,4382
Bihar,2006,Rail-Road Accidents,9,16,40,35,33,29,14,11,187
Bihar,2006,Other Railway Accidents,114,81,219,198,163,173,152,130,1230
Bihar,2007,Road Accidents,356,739,868,866,838,918,664,382,5631
Bihar,2007,Rail-Road Accidents,0,2,0,2,1,1,0,0,6
Bihar,2007,Other Railway Accidents,130,157,147,146,177,228,143,191,1319
Bihar,2008,Road Accidents,361,907,928,1006,845,1002,702,429,6180
Bihar,2008,Rail-Road Accidents,0,1,1,3,0,0,0,2,7
Bihar,2008,Other Railway Accidents,56,188,262,219,130,152,126,64,1197
Bihar,2009,Road Accidents,703,1052,1232,1215,1007,1335,1126,696,8366
Bihar,2009,Rail-Road Accidents,0,0,0,10,0,22,16,0,48
Bihar,2009,Other Railway Accidents,43,170,148,258,172,160,161,22,1134
Bihar,2010,Road Accidents,720,923,1037,1267,1210,1288,1168,828,8441
Bihar,2010,Rail-Road Accidents,2,8,8,5,9,1,2,8,43
Bihar,2010,Other Railway Accidents,105,238,372,189,126,71,52,71,1224
Bihar,2011,Road Accidents,690,903,1167,1512,1511,1492,1240,840,9355
Bihar,2011,Rail-Road Accidents,3,1,0,2,1,0,1,2,10
Bihar,2011,Other Railway Accidents,175,314,436,273,208,152,124,149,1831
Bihar,2012,Road Accidents,666,763,1733,1725,1653,1569,1269,942,10320
Bihar,2012,Rail-Road Accidents,25,35,31,22,20,26,55,50,264
Bihar,2012,Other Railway Accidents,164,157,264,248,178,121,168,66,1366
Chhattisgarh,2001,Road Accidents,279,353,632,1026,762,859,684,392,4987
Chhattisgarh,2001,Rail-Road Accidents,1,0,0,2,0,1,2,2,8
Chhattisgarh,2001,Other Railway Accidents,21,29,36,41,43,33,35,32,270
Chhattisgarh,2002,Road Accidents,384,528,847,813,892,927,794,616,5801
Chhattisgarh,2002,Rail-Road Accidents,0,1,0,2,0,0,1,0,4
Chhattisgarh,2002,Other Railway Accidents,25,47,68,66,49,40,31,40,366
Chhattisgarh,2003,Road Accidents,611,732,859,1099,959,929,938,896,7023
Chhattisgarh,2003,Rail-Road Accidents,5,2,14,9,6,9,6,2,53
Chhattisgarh,2003,Other Railway Accidents,31,39,71,58,50,56,46,35,386
Chhattisgarh,2004,Road Accidents,359,431,719,1165,868,910,818,805,6075
Chhattisgarh,2004,Rail-Road Accidents,1,12,21,20,14,11,13,26,118
Chhattisgarh,2004,Other Railway Accidents,16,36,54,59,49,40,39,37,330
Chhattisgarh,2005,Road Accidents,445,712,782,1016,920,805,716,600,5996
Chhattisgarh,2005,Rail-Road Accidents,2,10,9,9,7,10,9,11,67
Chhattisgarh,2005,Other Railway Accidents,42,51,73,47,46,46,51,60,416
Chhattisgarh,2006,Road Accidents,531,570,918,1229,1197,1069,958,639,7111
Chhattisgarh,2006,Rail-Road Accidents,3,3,7,7,7,4,4,4,39
Chhattisgarh,2006,Other Railway Accidents,25,61,74,73,68,53,54,54,462
Chhattisgarh,2007,Road Accidents,498,846,1081,1230,1210,1173,990,809,7837
Chhattisgarh,2007,Rail-Road Accidents,0,2,3,2,1,3,3,1,15
Chhattisgarh,2007,Other Railway Accidents,35,51,79,80,66,55,68,59,493
Chhattisgarh,2008,Road Accidents,594,957,1199,1452,1414,1141,1133,879,8769
Chhattisgarh,2008,Rail-Road Accidents,0,0,8,5,4,0,6,3,26
Chhattisgarh,2008,Other Railway Accidents,41,63,87,79,64,55,60,54,503
Chhattisgarh,2009,Road Accidents,414,692,998,1408,1219,1165,1193,824,7913
Chhattisgarh,2009,Rail-Road Accidents,3,9,9,14,18,14,14,8,89
Chhattisgarh,2009,Other Railway Accidents,23,52,81,108,54,52,45,44,459
Chhattisgarh,2010,Road Accidents,579,756,1007,1417,1254,1095,1034,660,7802
Chhattisgarh,2010,Rail-Road Accidents,55,70,90,84,80,87,81,70,617
Chhattisgarh,2010,Other Railway Accidents,43,76,97,101,70,65,54,57,563
Chhattisgarh,2011,Road Accidents,572,814,1275,1514,1493,1385,1293,849,9195
Chhattisgarh,2011,Rail-Road Accidents,7,17,21,19,14,10,20,10,118
Chhattisgarh,2011,Other Railway Accidents,38,47,96,104,68,76,77,78,584
Chhattisgarh,2012,Road Accidents,1159,1415,1708,1885,1936,1886,1995,1527,13511
Chhattisgarh,2012,Rail-Road Accidents,3,9,5,8,5,2,3,8,43
Chhattisgarh,2012,Other Railway Accidents,26,74,80,81,60,68,76,44,509
Goa,2001,Road Accidents,52,33,152,248,233,299,229,129,1375
Goa,2001,Rail-Road Accidents,0,0,1,0,0,0,1,1,3
Goa,2001,Other Railway Accidents,1,2,8,3,1,3,1,3,22
Goa,2002,Road Accidents,57,44,147,204,173,209,239,128,1201
Goa,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Goa,2002,Other Railway Accidents,0,1,12,8,7,6,2,2,38
Goa,2003,Road Accidents,81,38,144,284,306,345,323,157,1678
Goa,2003,Rail-Road Accidents,0,0,2,4,5,5,0,2,18
Goa,2003,Other Railway Accidents,0,1,2,4,3,1,2,0,13
Goa,2004,Road Accidents,74,33,161,220,274,263,248,269,1542
Goa,2004,Rail-Road Accidents,0,0,4,1,0,1,1,2,9
Goa,2004,Other Railway Accidents,0,4,8,4,6,4,0,0,26
Goa,2005,Road Accidents,56,38,110,165,187,208,191,114,1069
Goa,2005,Rail-Road Accidents,0,0,1,1,0,0,0,0,2
Goa,2005,Other Railway Accidents,0,0,6,1,1,2,1,1,12
Goa,2006,Road Accidents,200,138,335,559,702,712,692,411,3749
Goa,2006,Rail-Road Accidents,0,1,3,1,0,1,1,0,7
Goa,2006,Other Railway Accidents,2,5,5,2,2,4,3,5,28
Goa,2007,Road Accidents,212,117,407,599,719,798,755,415,4022
Goa,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Goa,2007,Other Railway Accidents,1,4,6,6,4,3,2,1,27
Goa,2008,Road Accidents,194,139,378,618,772,828,760,490,4179
Goa,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Goa,2008,Other Railway Accidents,3,1,7,6,3,5,3,2,30
Goa,2009,Road Accidents,200,132,410,635,740,837,756,460,4170
Goa,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Goa,2009,Other Railway Accidents,3,3,3,7,7,4,7,6,40
Goa,2010,Road Accidents,195,164,443,736,848,873,876,439,4574
Goa,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Goa,2010,Other Railway Accidents,4,5,15,12,4,6,8,1,55
Goa,2011,Road Accidents,261,178,431,749,783,901,812,446,4561
Goa,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Goa,2011,Other Railway Accidents,1,5,9,6,5,9,4,3,42
Goa,2012,Road Accidents,208,155,424,666,807,799,775,454,4288
Goa,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Goa,2012,Other Railway Accidents,7,1,17,15,14,8,11,1,74
Gujarat,2001,Road Accidents,1267,1338,2316,3263,3119,3163,3161,2181,19808
Gujarat,2001,Rail-Road Accidents,1,2,1,1,5,5,6,3,24
Gujarat,2001,Other Railway Accidents,85,73,177,189,156,144,156,123,1103
Gujarat,2002,Road Accidents,1106,1120,2239,3150,2968,3030,2985,2142,18740
Gujarat,2002,Rail-Road Accidents,1,2,6,7,3,7,1,0,27
Gujarat,2002,Other Railway Accidents,89,107,240,204,159,157,161,134,1251
Gujarat,2003,Road Accidents,1070,1238,2170,3094,2733,2881,2998,1918,18102
Gujarat,2003,Rail-Road Accidents,4,4,12,10,11,11,10,6,68
Gujarat,2003,Other Railway Accidents,86,90,221,184,162,152,200,139,1234
Gujarat,2004,Road Accidents,1152,1339,2109,2895,2856,3079,2994,2054,18478
Gujarat,2004,Rail-Road Accidents,9,7,8,12,8,6,10,9,69
Gujarat,2004,Other Railway Accidents,88,74,182,176,118,132,159,119,1048
Gujarat,2005,Road Accidents,1428,1324,2091,2860,2917,2846,2928,2147,18541
Gujarat,2005,Rail-Road Accidents,0,7,6,5,3,5,6,2,34
Gujarat,2005,Other Railway Accidents,72,84,205,184,130,165,153,137,1130
Gujarat,2006,Road Accidents,1277,1533,2216,2837,2968,2960,3029,2124,18944
Gujarat,2006,Rail-Road Accidents,4,3,8,4,2,6,4,5,36
Gujarat,2006,Other Railway Accidents,86,69,206,159,153,137,152,155,1117
Gujarat,2007,Road Accidents,1468,2013,2503,3085,3009,3419,3319,2617,21433
Gujarat,2007,Rail-Road Accidents,7,9,12,6,6,8,8,7,63
Gujarat,2007,Other Railway Accidents,85,80,230,159,131,150,208,153,1196
Gujarat,2008,Road Accidents,1432,1631,2535,3263,3169,3323,3449,2225,21027
Gujarat,2008,Rail-Road Accidents,15,15,7,10,6,10,7,14,84
Gujarat,2008,Other Railway Accidents,79,92,152,177,132,138,203,174,1147
Gujarat,2009,Road Accidents,1239,1640,2545,3110,2918,3282,3255,2112,20101
Gujarat,2009,Rail-Road Accidents,7,8,16,5,8,6,6,8,64
Gujarat,2009,Other Railway Accidents,83,79,162,146,133,135,169,119,1026
Gujarat,2010,Road Accidents,1348,1670,2507,3232,2968,3267,3341,2165,20498
Gujarat,2010,Rail-Road Accidents,11,8,3,4,13,14,9,7,69
Gujarat,2010,Other Railway Accidents,98,89,164,140,134,114,158,114,1011
Gujarat,2011,Road Accidents,1962,2282,3571,4941,4595,4751,4767,3330,30199
Gujarat,2011,Rail-Road Accidents,4,1,7,4,6,6,11,3,42
Gujarat,2011,Other Railway Accidents,87,98,184,139,122,120,177,143,1070
Gujarat,2012,Road Accidents,2085,2603,3286,4190,3802,4045,4403,2853,27267
Gujarat,2012,Rail-Road Accidents,2,9,9,6,5,9,8,8,56
Gujarat,2012,Other Railway Accidents,102,94,179,163,108,126,173,123,1068
Haryana,2001,Road Accidents,407,625,1003,1015,894,882,832,715,6373
Haryana,2001,Rail-Road Accidents,1,2,2,2,0,0,0,0,7
Haryana,2001,Other Railway Accidents,100,277,288,299,40,180,19,28,1231
Haryana,2002,Road Accidents,615,740,1070,1004,877,992,1006,783,7087
Haryana,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Haryana,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Haryana,2003,Road Accidents,709,910,793,888,823,837,826,638,6424
Haryana,2003,Rail-Road Accidents,0,0,3,2,2,0,2,2,11
Haryana,2003,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Haryana,2004,Road Accidents,845,1014,1042,1069,998,989,1070,881,7908
Haryana,2004,Rail-Road Accidents,1,2,3,3,0,5,3,1,18
Haryana,2004,Other Railway Accidents,108,284,293,306,47,187,32,36,1293
Haryana,2005,Road Accidents,760,859,1020,962,898,1065,1165,953,7682
Haryana,2005,Rail-Road Accidents,1,1,3,3,1,4,3,1,17
Haryana,2005,Other Railway Accidents,116,293,303,316,54,199,43,42,1366
Haryana,2006,Road Accidents,1155,1112,1277,1191,1114,1317,1760,1336,10262
Haryana,2006,Rail-Road Accidents,1,2,2,3,2,1,2,1,14
Haryana,2006,Other Railway Accidents,177,330,331,350,58,201,40,39,1526
Haryana,2007,Road Accidents,1080,1033,1313,1312,1267,1407,1767,1137,10316
Haryana,2007,Rail-Road Accidents,1,2,2,1,2,1,2,2,13
Haryana,2007,Other Railway Accidents,141,183,186,280,58,165,40,39,1092
Haryana,2008,Road Accidents,1089,1236,1367,1374,1380,1622,1911,1262,11241
Haryana,2008,Rail-Road Accidents,4,3,2,4,5,1,4,2,25
Haryana,2008,Other Railway Accidents,136,140,145,130,132,135,130,133,1081
Haryana,2009,Road Accidents,860,1184,1488,1580,1526,1670,1870,1249,11427
Haryana,2009,Rail-Road Accidents,3,2,2,2,1,2,1,1,14
Haryana,2009,Other Railway Accidents,140,150,153,134,141,139,136,138,1131
Haryana,2010,Road Accidents,799,1105,1617,1517,1481,1715,1756,1171,11161
Haryana,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Haryana,2010,Other Railway Accidents,149,155,159,145,145,151,144,147,1195
Haryana,2011,Road Accidents,685,1049,1319,1302,1364,1720,1811,1303,10553
Haryana,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Haryana,2011,Other Railway Accidents,191,162,141,142,130,138,164,184,1252
Haryana,2012,Road Accidents,578,941,1263,1268,1350,1613,1802,1156,9971
Haryana,2012,Rail-Road Accidents,0,1,1,3,3,2,3,2,15
Haryana,2012,Other Railway Accidents,177,167,162,155,171,160,127,145,1264
Himachal Pradesh,2001,Road Accidents,75,145,207,271,252,362,446,352,2110
Himachal Pradesh,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2001,Other Railway Accidents,0,1,2,3,1,2,1,0,10
Himachal Pradesh,2002,Road Accidents,81,124,267,352,255,345,497,360,2281
Himachal Pradesh,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2002,Other Railway Accidents,0,0,0,0,0,0,1,0,1
Himachal Pradesh,2003,Road Accidents,87,85,320,484,334,377,402,270,2359
Himachal Pradesh,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2003,Other Railway Accidents,6,1,2,4,1,2,0,0,16
Himachal Pradesh,2004,Road Accidents,135,141,323,451,358,453,357,297,2515
Himachal Pradesh,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2004,Other Railway Accidents,2,2,6,4,1,1,1,1,18
Himachal Pradesh,2005,Road Accidents,123,88,268,395,397,396,444,290,2401
Himachal Pradesh,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2005,Other Railway Accidents,2,1,1,2,1,1,1,1,10
Himachal Pradesh,2006,Road Accidents,112,120,314,495,444,425,307,199,2416
Himachal Pradesh,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2006,Other Railway Accidents,2,3,2,3,2,2,2,2,18
Himachal Pradesh,2007,Road Accidents,120,151,273,309,436,443,513,337,2582
Himachal Pradesh,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2007,Other Railway Accidents,4,2,3,1,2,1,4,0,17
Himachal Pradesh,2008,Road Accidents,103,106,219,255,297,414,382,206,1982
Himachal Pradesh,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2008,Other Railway Accidents,1,2,4,2,3,5,3,2,22
Himachal Pradesh,2009,Road Accidents,135,153,322,366,500,653,566,383,3078
Himachal Pradesh,2009,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2009,Other Railway Accidents,0,0,4,2,3,6,0,0,15
Himachal Pradesh,2010,Road Accidents,153,192,372,360,396,633,626,345,3077
Himachal Pradesh,2010,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2010,Other Railway Accidents,0,0,3,5,3,2,3,4,20
Himachal Pradesh,2011,Road Accidents,100,124,353,465,472,693,577,315,3099
Himachal Pradesh,2011,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2011,Other Railway Accidents,2,2,4,3,5,5,4,2,27
Himachal Pradesh,2012,Road Accidents,114,128,332,459,434,539,558,335,2899
Himachal Pradesh,2012,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2012,Other Railway Accidents,0,1,3,1,2,4,3,0,14
Jammu & Kashmir,2001,Road Accidents,337,352,658,1099,1062,864,386,253,5011
Jammu & Kashmir,2001,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2001,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Road Accidents,154,180,582,1293,1118,1001,641,404,5373
Jammu & Kashmir,2002,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2002,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Road Accidents,298,304,639,1038,1292,1177,795,345,5888
Jammu & Kashmir,2003,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2003,Other Railway Accidents,0,20,0,0,24,0,0,0,44
Jammu & Kashmir,2004,Road Accidents,333,239,958,1677,1441,966,501,166,6281
Jammu & Kashmir,2004,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2004,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Road Accidents,188,396,811,1233,1057,1173,532,279,5669
Jammu & Kashmir,2005,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2005,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Road Accidents,350,235,541,1110,1061,1116,728,468,5609
Jammu & Kashmir,2006,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2006,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Road Accidents,326,418,697,1049,1099,982,842,461,5874
Jammu & Kashmir,2007,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2007,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Road Accidents,261,368,631,999,1139,892,675,461,5426
Jammu & Kashmir,2008,Rail-Road Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2008,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2009,Road Accidents,298,386,676,1178,1240,1023,802,409,6012
Jammu & Kashmir,2009,Rail-Road Accidents,2,6,15,11,7,4,4,8,57
Jammu & Kashmir,2009,Other Railway Accidents,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Road Accidents,239,287,699,1173,1265,1099,796,584,6142
